,title_x,year_x,genres,description_x,channel,title_y,year_y,description_y,theater
475,Kingsman: The Golden Circle,2017,Action,Members of Kingsman join forces with their American counterparts to battle a ruthless enemy.,068,Tenet,2020,"A secret agent embarks on a dangerous, time-bending mission to prevent the start of World War III.",Alamo Drafthouse South Lamar
476,Kingsman: The Golden Circle,2017,Action,Members of Kingsman join forces with their American counterparts to battle a ruthless enemy.,108,Tenet,2020,"A secret agent embarks on a dangerous, time-bending mission to prevent the start of World War III.",Alamo Drafthouse South Lamar
477,Safe House,2012,Action,A rookie and a renegade agent try to stay alive while trying to determine who's trying to kill them.,519,Tenet,2020,"A secret agent embarks on a dangerous, time-bending mission to prevent the start of World War III.",Alamo Drafthouse South Lamar
478,Dying of the Light,2014,Action,"Forced to retire and terminally ill, a CIA agent goes rogue to find and kill his sworn enemy.",541,Tenet,2020,"A secret agent embarks on a dangerous, time-bending mission to prevent the start of World War III.",Alamo Drafthouse South Lamar
479,The Transporter,2002,Action,A mercenary (Jason Statham) changes his mind-set after meeting a woman (Shu Qi).,542,Tenet,2020,"A secret agent embarks on a dangerous, time-bending mission to prevent the start of World War III.",Alamo Drafthouse South Lamar
480,Sniper: Reloaded,2011,Action,Un francotirador debe matar a otro antes de convertirse en su próxima víctima.,973,Tenet,2020,"A secret agent embarks on a dangerous, time-bending mission to prevent the start of World War III.",Alamo Drafthouse South Lamar
481,Rambo: First Blood Part II,1985,Action,A former Green Beret goes on a reconnaissance mission to spring MIAs from a Viet Cong prison.,552,Tenet,2020,"A secret agent embarks on a dangerous, time-bending mission to prevent the start of World War III.",Alamo Drafthouse South Lamar
482,Soy como el tigre,2013,Action,El comandante TIGRE es el mejor escolta de la mafia. Él tendrá que cuidarse de más de un enemigo.,983,Tenet,2020,"A secret agent embarks on a dangerous, time-bending mission to prevent the start of World War III.",Alamo Drafthouse South Lamar
483,El amigo del pueblo,2016,Action,La rivalidad entre los que manejan el narcotráfico desata secuestros y muerte.,972,Tenet,2020,"A secret agent embarks on a dangerous, time-bending mission to prevent the start of World War III.",Alamo Drafthouse South Lamar
484,The Kingdom,2007,Action,"Federal agents (Jamie Foxx, Chris Cooper) seek a terrorist cell in Riyadh, Saudi Arabia.",533,Tenet,2020,"A secret agent embarks on a dangerous, time-bending mission to prevent the start of World War III.",Alamo Drafthouse South Lamar
485,Hitman,2007,Action,An assassin flees across Eastern Europe after getting caught up in a political conspiracy.,534,Tenet,2020,"A secret agent embarks on a dangerous, time-bending mission to prevent the start of World War III.",Alamo Drafthouse South Lamar
486,Por dos pistolas de plata,2009,Action,Un hombre intenta defender a la mujer que ama de otro hombre con sus dos pistolas plateadas.,842,Tenet,2020,"A secret agent embarks on a dangerous, time-bending mission to prevent the start of World War III.",Alamo Drafthouse South Lamar
487,Gemini Man,2019,Action,"An elite assassin becomes the target of a younger, faster, cloned version of himself.",597,Tenet,2020,"A secret agent embarks on a dangerous, time-bending mission to prevent the start of World War III.",Alamo Drafthouse South Lamar
488,The Boondock Saints II: All Saints Day,2009,Action,The MacManus brothers return to Boston to avenge the murder of their priest.,623,Tenet,2020,"A secret agent embarks on a dangerous, time-bending mission to prevent the start of World War III.",Alamo Drafthouse South Lamar
489,Assault on Precinct 13,2005,Action,Gunmen attack a crumbling police station to kill a gangster (Laurence Fishburne).,523,Tenet,2020,"A secret agent embarks on a dangerous, time-bending mission to prevent the start of World War III.",Alamo Drafthouse South Lamar
490,Killerman,2019,Action,An amnesiac money launderer searches for answers while trying to dodge a crew of crooked cops.,542,Tenet,2020,"A secret agent embarks on a dangerous, time-bending mission to prevent the start of World War III.",Alamo Drafthouse South Lamar
491,Sniper 3,2004,Action,El sargento Thomas Beckett tiene que enfrentarse a un enemigo al que creía muerto.,973,Tenet,2020,"A secret agent embarks on a dangerous, time-bending mission to prevent the start of World War III.",Alamo Drafthouse South Lamar
492,El peor francotirador,2020,Action,El francotirador más letal ha regresado para enfrentarse al Gobierno.,972,Tenet,2020,"A secret agent embarks on a dangerous, time-bending mission to prevent the start of World War III.",Alamo Drafthouse South Lamar
493,XXX: State of the Union,2005,Action,Agent XXX (Ice Cube) must thwart a plot to depose the president.,551,Tenet,2020,"A secret agent embarks on a dangerous, time-bending mission to prevent the start of World War III.",Alamo Drafthouse South Lamar
494,The Forbidden Kingdom,2008,Action,An American teen travels back in time to ancient China and joins the quest to free the Monkey King.,640,Tenet,2020,"A secret agent embarks on a dangerous, time-bending mission to prevent the start of World War III.",Alamo Drafthouse South Lamar
495,Let's Get Harry,1986,Action,Mercenary (Robert Duvall) helps guy (Michael Schoeffling) rescue brother in Colombia.,622,Tenet,2020,"A secret agent embarks on a dangerous, time-bending mission to prevent the start of World War III.",Alamo Drafthouse South Lamar
496,Ángeles infernales,1966,Action,Un luchador debe enfrentar a una banda criminal debido a que uno de sus miembros fue apresado.,980,Tenet,2020,"A secret agent embarks on a dangerous, time-bending mission to prevent the start of World War III.",Alamo Drafthouse South Lamar
497,La Caspa del Diablo,2001,Action,Narcotraficantes y mujer intentan hacer llegar carga a Chicago.,842,Tenet,2020,"A secret agent embarks on a dangerous, time-bending mission to prevent the start of World War III.",Alamo Drafthouse South Lamar
498,Mi pueblo,2014,Action,"Un mantense, quien emigró a los EE. UU., regresa a su ciudad y la encuentra plagada de injusticias.",983,Tenet,2020,"A secret agent embarks on a dangerous, time-bending mission to prevent the start of World War III.",Alamo Drafthouse South Lamar
499,Anna,2019,Action,A woman unleashes her strength and skill to become one of the most feared assassins on the planet.,532,Tenet,2020,"A secret agent embarks on a dangerous, time-bending mission to prevent the start of World War III.",Alamo Drafthouse South Lamar
500,Punisher: War Zone,2008,Action,A disfigured mob boss known as Jigsaw seeks revenge against Frank Castle (Ray Stevenson).,537,Tenet,2020,"A secret agent embarks on a dangerous, time-bending mission to prevent the start of World War III.",Alamo Drafthouse South Lamar
501,The Kingdom,2007,Action,"Federal agents (Jamie Foxx, Chris Cooper) seek a terrorist cell in Riyadh, Saudi Arabia.",541,Tenet,2020,"A secret agent embarks on a dangerous, time-bending mission to prevent the start of World War III.",Alamo Drafthouse South Lamar
502,Hitman,2007,Action,An assassin flees across Eastern Europe after getting caught up in a political conspiracy.,542,Tenet,2020,"A secret agent embarks on a dangerous, time-bending mission to prevent the start of World War III.",Alamo Drafthouse South Lamar
503,Marked for Death,1990,Action,An ex-drug agent (Steven Seagal) exterminates a Jamaican drug posse.,603,Tenet,2020,"A secret agent embarks on a dangerous, time-bending mission to prevent the start of World War III.",Alamo Drafthouse South Lamar
504,Barely Lethal,2015,Action,"Seeking a normal adolescence, a special-operations agent (Hailee Steinfeld) enrolls in high school.",554,Tenet,2020,"A secret agent embarks on a dangerous, time-bending mission to prevent the start of World War III.",Alamo Drafthouse South Lamar
505,Tears of the Sun,2003,Action,"Navy SEALs (Bruce Willis, Cole Hauser) protect Nigerian refugees from ruthless rebels.",602,Tenet,2020,"A secret agent embarks on a dangerous, time-bending mission to prevent the start of World War III.",Alamo Drafthouse South Lamar
506,Blood Out,2011,Action,A lawman resigns and goes under cover to sniff out his brother's murderer.,583,Tenet,2020,"A secret agent embarks on a dangerous, time-bending mission to prevent the start of World War III.",Alamo Drafthouse South Lamar
507,The Spirit,2008,Action,"A rookie cop (Gabriel Macht), believed to be dead, fights crime in Central City.",597,Tenet,2020,"A secret agent embarks on a dangerous, time-bending mission to prevent the start of World War III.",Alamo Drafthouse South Lamar
508,Las cuatro michoacanas,2020,Action,Cuatro mujeres deciden declararle la guerra al mayor distribuidor de drogas de la ciudad.,983,Tenet,2020,"A secret agent embarks on a dangerous, time-bending mission to prevent the start of World War III.",Alamo Drafthouse South Lamar
509,El huerfanito,2019,Action,La vida de un adolescente toma un giro inesperado por los celos de su padre.,983,Tenet,2020,"A secret agent embarks on a dangerous, time-bending mission to prevent the start of World War III.",Alamo Drafthouse South Lamar
510,Anna,2019,Action,A woman unleashes her strength and skill to become one of the most feared assassins on the planet.,540,Tenet,2020,"A secret agent embarks on a dangerous, time-bending mission to prevent the start of World War III.",Alamo Drafthouse South Lamar
511,The Tracker,2019,Action,A vengeful man embarks on a bloody mission to punish those responsible for the death of his family.,595,Tenet,2020,"A secret agent embarks on a dangerous, time-bending mission to prevent the start of World War III.",Alamo Drafthouse South Lamar
512,El as de oro,2012,Action,Manuel regresa a su pueblo tras estar preso por una falsa acusación sobre el robo de unos caballos.,983,Tenet,2020,"A secret agent embarks on a dangerous, time-bending mission to prevent the start of World War III.",Alamo Drafthouse South Lamar
